Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
Q14746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35789528.0,48408080.0,0.0,63738276.0,0.0,47555984.0,60438084.0,87235992.0,31721732.0,26814744.0,88565392.0,43930448.0
Q14789,149805408.0,151178448.0,149995120.0,146669504.0,159630576.0,156279904.0,171635584.0,157843312.0,154603152.0,178223488.0,152606480.0,179419616.0,152458768.0,165749904.0,157669568.0,159671536.0,186747760.0,177587776.0,146303584.0,148457024.0,157234400.0,168490768.0,139092656.0,162608192.0
Q9NZW5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q14839,338275904.0,340918080.0,374723168.0,361956992.0,347594400.0,334996192.0,328154336.0,292542144.0,360357184.0,366362688.0,368060896.0,345173632.0,301839808.0,275620384.0,289236832.0,301912256.0,326709536.0,315362688.0,293377664.0,297249120.0,284405920.0,294666592.0,268550784.0,288667072.0
P85037,174494208.0,133880240.0,146922496.0,152455072.0,144134480.0,0.0,175716160.0,162585888.0,131378608.0,150554016.0,165664592.0,148332000.0,128172296.0,171675456.0,125559416.0,141827424.0,104314128.0,129435600.0,132781024.0,112016064.0,101400400.0,113767592.0,103587000.0,115547840.0
Q14914,406710944.0,399736192.0,358284384.0,328596576.0,364482784.0,387917632.0,420785280.0,452444672.0,373543136.0,424288064.0,436330752.0,391489504.0,2001291900.0,2050436480.0,1696084350.0,1895819140.0,1999833860.0,1944274820.0,1937625730.0,1942844030.0,1847005700.0,1985904900.0,1945785220.0,1919048700.0
Q14974,2035140100.0,1981799940.0,2251968260.0,2248178690.0,2032028160.0,2028644350.0,2041011460.0,1993301760.0,1909375620.0,1901276800.0,1904279550.0,1791745920.0,1471560700.0,1328518020.0,1339611010.0,1402196610.0,1540059010.0,1476740220.0,1418709500.0,1426245250.0,1483971580.0,1568248060.0,1416494080.0,1604934660.0
P12882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487423584.0,490638624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UKX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464424352.0,452730336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495304640.0,482831776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q07666,1134826880.0,1114128000.0,1018914750.0,1020156860.0,1050075070.0,1107173250.0,1055903230.0,1182133890.0,1127553150.0,1140965380.0,1212839420.0,1231081340.0,1583933950.0,1560530820.0,1509182080.0,1493682820.0,1698812670.0,1716323330.0,1617650300.0,1550245760.0,1511799040.0,1600942590.0,1464195710.0,1563731460.0
